PHONE_ID,PHONE_TOESTELMERK,PHONE_MODEL,PHONE_TITLE,PHONE_TITLE_DETAILS,PHONE_TILDSDUUR,PHONE_GARANTIE,PHONE_PRICE,CURRENT_LINK
33,Alcatel,Pixi 4 5e gen,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
34,Alcatel,Pixi 4 5e gen,"Touchscreen glas vervangen
",Het touchscreen is de glasplaat met daaronder tegenaan de digitizer. Deze dient vervangen te worden wanneer het glas gebroken is en/of het scherm niet meer reageert op aanraking.,1 uur alleen op afspraak,Levenslang,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
35,Alcatel,Pixi 4 5e gen,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
36,Alcatel,Pixi 4 5e gen,"Accu vervangen
","Laadt uw toestel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar!",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
37,Alcatel,Pixi 4 5e gen,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel. Veel mensen weten niet dat de kosten voor het repareren van het toestel vaak bij de verzekering gedeclareerd kunnen worden.

Bij ons kunt u terecht voor een officiele factuur van de reparatiekosten. De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
38,Alcatel,Pixi 4 5e gen,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
39,Alcatel,Pixi 4 5e gen,"Luidspreker
",,,,€ 29.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
40,Alcatel,Pixi 4 5e gen,"Koptelefoon aansluiting
",,,,€ 29.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
41,Alcatel,Pixi 4 5e gen,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
42,Alcatel,Pixi 4 5e gen,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
43,Alcatel,Pixi 4 5e gen,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Wordt bij het ontvangst aangeven,,€ 0.00,https://www.doctorphone.nl/reparatie-alcatel-pixi-4-5e-gen
44,Alcatel,OneTouch Idol 3 5.5,"Touchscreen / lcd scherm vervangen
","Wanneer uw toestel een glasbreuk, niet werkend Touchscreen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 99.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
45,Alcatel,OneTouch Idol 3 5.5,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
46,Alcatel,OneTouch Idol 3 5.5,"Achter camera
","Werkt de achter camera van uw toestel niet? Gaat camera lens niet open? Heeft u problemen met flits? Bij deze reparatie wordt de kapotte  camera-unit inclusief het flits vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
47,Alcatel,OneTouch Idol 3 5.5,"Microfoon vervangen
","Hoort de tegenpartij u nauwelijks of niet? Geen geluid tijdens het opnemen van video's
Bij deze reparatie wordt de microfoon vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
48,Alcatel,OneTouch Idol 3 5.5,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel. Veel mensen weten niet dat de kosten voor het repareren van het toestel vaak bij de verzekering gedeclareerd kunnen worden.

Bij ons kunt u terecht voor een officiele factuur van de reparatiekosten. De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
49,Alcatel,OneTouch Idol 3 5.5,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
50,Alcatel,OneTouch Idol 3 5.5,"Accu vervangen
","Laadt uw toestel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar!",1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
51,Alcatel,OneTouch Idol 3 5.5,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
52,Alcatel,OneTouch Idol 3 5.5,"Oorspeaker vervangen
","Verstaat u tijdens het bellen uw gesprekspartner slecht, of zelfs niet?
Bij deze reparatie wordt de oor speaker unit vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
53,Alcatel,OneTouch Idol 3 5.5,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Wordt bij het ontvangst aangeven,,€ 0.00,https://www.doctorphone.nl/reparatie-alcatel-onetouch-idol-3-55
54,Alcatel,One Touch Idol 3 4.7,"Touchscreen glas vervangen
","Wanneer uw Alcatel een glasbreuk, niet werkend Touch screen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 89.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
55,Alcatel,One Touch Idol 3 4.7,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de defecte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 45.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
56,Alcatel,One Touch Idol 3 4.7,"Accu vervangen
","Laadt uw Alcatel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
57,Alcatel,One Touch Idol 3 4.7,"Prijsopgave voor verzekering
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
58,Alcatel,One Touch Idol 3 4.7,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.",,1 Werkdag,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
59,Alcatel,One Touch Idol 3 4.7,"Luidspreker
","Heeft u problemen met uw Alcatel met het horen van bijvoorbeeld uw ringtone of muziek, werkt deze niet of hoort u geruis? Bij deze reparatie wordt de loudspeakerunit vervangen door een nieuw, origineel exemplaar",1 uur alleen op afspraak,Levenslang,€ 29.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
60,Alcatel,One Touch Idol 3 4.7,"Software herstel
",Komt uw Alcatel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op,1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-3-47
61,Alcatel,One Touch Idol 2 Mini S,"Touchscreen glas vervangen
","Wanneer uw Alcatel een glasbreuk, niet werkend Touch screen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient altijd het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 79.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
62,Alcatel,One Touch Idol 2 Mini S,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 45.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
63,Alcatel,One Touch Idol 2 Mini S,"Accu vervangen
","Laadt uw Alcatel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
64,Alcatel,One Touch Idol 2 Mini S,"Prijsopgave voor verzekering
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
65,Alcatel,One Touch Idol 2 Mini S,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 uur alleen op afspraak,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
66,Alcatel,One Touch Idol 2 Mini S,"Software herstel
",Komt uw Acer Z150 niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op,1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
67,Alcatel,One Touch Idol 2 Mini S,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Word bij ontvangst aangegeven,,€ 0.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-idol-2-mini-s
68,Alcatel,One Touch POP C7,"Touchscreen glas vervangen
","Wanneer uw Alcatel een glasbreuk, niet werkend Touch screen of defect LCD display heeft (wit of zwarte vlekken/strepen) dan dient het gehele scherm vervangen te worden.",1 uur alleen op afspraak,Levenslang,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-pop-c7
69,Alcatel,One Touch POP C7,"Oplaad connector vervangen
","Laadt uw toestel niet meer op? Kunt u geen verbinding maken met uw Pc of Mac? Bij deze reparatie wordt de kapotte oplaad connector module vervangen door een nieuw, origineel exemplaar.",1 uur alleen op afspraak,3 maanden,€ 49.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-pop-c7
70,Alcatel,One Touch POP C7,"Accu vervangen
","Laadt uw Alcatel niet of nauwelijks meer op? Valt het toestel vaak uit? Geeft het telkens andere percentages weer? Waarschijnlijk is dan de accu van de smartphone of tablet aan vervanging toe. Wij vervangen snel uw oude accu door een nieuw, origineel exemplaar!",1 uur alleen op afspraak,3 maanden,€ 39.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-pop-c7
71,Alcatel,One Touch POP C7,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel? Veel mensen weten niet dat de kosten voor het reparatie van het toestel vaak bij de verzekering gedeclareerd kunnen worden. Bij ons kunt u terecht voor een officiële factuur van de reparatiekosten.

De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-pop-c7
72,Alcatel,One Touch POP C7,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 Werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-pop-c7
73,Alcatel,One Touch POP C7,"Software herstel
",Komt uw Alcatel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 25.00,https://www.doctorphone.nl/reparatie-alcatel-one-touch-pop-c7
74,Apple iPad,iPad 2018,"LCD Vervangen
",,,,€ 189.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-2018
75,Apple iPad,iPad 2018,"Touchscreen glas vervangen (originele kwaliteit)
",Het touchscreen is de glasplaat met daaronder tegenaan de digitizer. Deze dient vervangen te worden wanneer het glas gebroken is en/of het scherm niet meer reageert op aanraking.,1 uur alleen op afspraak,Levenslang,€ 169.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-2018
76,Apple iPad,iPad 2018,"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-2018
77,Apple iPad,iPad 2018,"Software herstel
",Komt uw toestel niet verder dan het Logo of zitten er andere fouten in de software van het toestel? Bij deze reparatie wordt toestel volledig gewist en komt er nieuwe software op.,1 uur alleen op afspraak,3 maanden,€ 35.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-2018
78,Apple iPad,iPad 2018,"Prijsopgave voor verzekering
","Heeft u uw toestel laten vallen of derden en daardoor schade aan het toestel. Veel mensen weten niet dat de kosten voor het repareren van het toestel vaak bij de verzekering gedeclareerd kunnen worden.

Bij ons kunt u terecht voor een officiele factuur van de reparatiekosten. De kosten voor de factuur worden in mindering gebracht op de totale reparatiekosten als u het toestel bij ons laat repareren.",Direct na reparatie onderzoek,,€ 0.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-2018
79,Apple iPad,iPad 2018,"Anders
",Omschrijf de klacht zo duidelijk mogelijk bij de klachtomschrijving.,Wordt bij het ontvangst aangeven,,€ 0.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-2018
80,Apple iPad,iPad Pro (9.7 inch),"Waterschade reparatie
","Bij waterschade wordt uw toestel intern schoongemaakt in een ultrasoon bad, en wordt bekeken welke onderdelen vervangen dienen te worden voor volledig herstel.
 
Dit alles binnen 1 werkdag. 80% kans op volledig herstel na waterschade.",1 werkdag,,€ 35.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-pro-97-inch
81,Apple iPad,iPad Pro (9.7 inch),"Backcover vervangen
",,,,€ 0.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-pro-97-inch
82,Apple iPad,iPad Pro (9.7 inch),"Luidspreker
",,,,€ 0.00,https://www.doctorphone.nl/reparatie-apple-ipad-ipad-pro-97-inch
